Metric,Condition,N,Mean,Median,Std Dev,Min,Max
Time (minutes),Overall,24,17.62,12.50,11.12,5.00,45.00
Time (minutes),Baseline,12,24.33,22.50,12.11,5.00,45.00
Time (minutes),Experimental System,12,10.92,10.00,3.30,6.00,20.00
Satisfaction (1-5),Overall,24,3.92,4.00,0.81,2.00,5.00
Satisfaction (1-5),Baseline,12,3.58,3.50,0.86,2.00,5.00
Satisfaction (1-5),Experimental System,12,4.25,4.00,0.60,3.00,5.00
Agreement [I am confident that my designed question aligns well with the assignments topic.],Overall,24,3.75,4.00,1.45,1.00,5.00
Agreement [I am confident that my designed question aligns well with the assignments topic.],Baseline,12,3.50,3.50,1.44,1.00,5.00
Agreement [I am confident that my designed question aligns well with the assignments topic.],Experimental System,12,4.00,4.50,1.41,1.00,5.00
Agreement [I am happy with the level of innovation and creativity of my designed question.],Overall,24,3.21,3.50,1.32,1.00,5.00
Agreement [I am happy with the level of innovation and creativity of my designed question.],Baseline,12,2.83,2.50,1.14,1.00,5.00
Agreement [I am happy with the level of innovation and creativity of my designed question.],Experimental System,12,3.58,4.00,1.38,1.00,5.00
"Agreement [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",Overall,24,2.71,3.00,1.14,1.00,5.00
"Agreement [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",Baseline,12,2.83,3.00,0.99,1.00,4.00
"Agreement [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",Experimental System,12,2.58,2.50,1.26,1.00,5.00
Agreement [It was easy to come up with an idea for the new question.],Overall,24,2.83,2.50,1.52,1.00,5.00
Agreement [It was easy to come up with an idea for the new question.],Baseline,12,1.92,2.00,0.95,1.00,4.00
Agreement [It was easy to come up with an idea for the new question.],Experimental System,12,3.75,4.50,1.42,1.00,5.00
Agreement [It was hard to write and format the new question.],Overall,24,2.58,2.00,1.47,1.00,5.00
Agreement [It was hard to write and format the new question.],Baseline,12,3.17,3.00,1.57,1.00,5.00
Agreement [It was hard to write and format the new question.],Experimental System,12,2.00,2.00,1.08,1.00,4.00
"[Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",Overall,24,2.54,2.00,1.44,1.00,5.00
"[Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",Baseline,12,3.67,4.00,1.18,1.00,5.00
"[Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",Experimental System,12,1.42,1.00,0.49,1.00,2.00
[Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],Overall,24,2.38,2.00,1.49,1.00,5.00
[Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],Baseline,12,3.42,3.50,1.44,1.00,5.00
[Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],Experimental System,12,1.33,1.00,0.47,1.00,2.00
"[Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",Overall,24,2.67,2.50,1.14,1.00,5.00
"[Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",Baseline,12,3.00,3.00,1.15,1.00,5.00
"[Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",Experimental System,12,2.33,2.00,1.03,1.00,5.00
NASA TLX Composite,Overall,24,2.53,2.33,1.15,1.00,5.00
NASA TLX Composite,Baseline,12,3.36,3.33,1.07,1.00,5.00
NASA TLX Composite,Experimental System,12,1.69,1.67,0.37,1.33,2.33
